UTC,latitude,longitude,Quality_Indi,Satellites_Used,HDOP,QZSS,GPS_L5
123728.40,35.540277,139.69012283,1,08,1.70,5,12
123728.60,35.54028417,139.69012483,1,07,3.88,5,12
123728.80,35.54029083,139.690126,1,07,3.88,5,12
123729.00,35.54029633,139.69012533,1,07,3.88,5,12
123729.20,35.5403015,139.69012483,1,07,3.89,5,12
123729.40,35.54030833,139.69012533,1,07,3.89,5,12
123729.60,35.54031533,139.69012417,1,08,1.70,5,12
123729.80,35.54032233,139.69012267,1,08,1.70,5,12
123730.00,35.54032817,139.69012117,1,08,1.70,5,12
123730.20,35.54033467,139.690122,1,08,1.70,5,12
123730.40,35.54034283,139.69012333,1,08,1.70,5,12
123730.60,35.54035083,139.69012633,1,08,1.70,5,12
123730.80,35.540357,139.69012733,1,09,1.32,5,12
123731.00,35.54036283,139.690127,1,09,1.32,5,12
123731.20,35.5403675,139.69012833,1,09,1.32,5,12
123731.40,35.54037233,139.69012867,1,09,1.32,5,12
123731.60,35.540378,139.69013,1,09,1.32,5,12
123731.80,35.54038333,139.69013133,1,09,1.32,5,12
123732.00,35.54039017,139.6901315,1,09,1.32,5,12
123732.20,35.54039533,139.69013083,1,09,1.32,5,12
123732.40,35.54040083,139.69012967,1,09,1.32,5,12
123732.60,35.54040667,139.69012833,1,09,1.32,5,12
123732.80,35.5404125,139.69012617,1,09,1.32,5,12
123733.00,35.540418,139.69012467,1,09,1.32,5,12
123733.20,35.54042167,139.69012767,1,09,1.32,5,12
123733.40,35.54042583,139.69013,1,09,1.32,5,12
123733.60,35.54043133,139.69013083,1,09,1.32,5,12
123733.80,35.540437,139.69013083,1,09,1.32,5,12
123734.00,35.54044233,139.69013167,1,09,1.32,5,12
123734.20,35.54044833,139.69013267,1,09,1.32,5,12
123734.40,35.54045467,139.6901325,1,09,1.32,5,12
123734.60,35.54045983,139.69013267,1,09,1.32,5,12
123734.80,35.54046567,139.69013333,1,09,1.32,5,12
123735.00,35.5404715,139.69013417,1,09,1.32,5,12
123735.20,35.54047783,139.69013533,1,09,1.32,5,12
123735.40,35.540484,139.69013733,1,09,1.32,5,11
123735.60,35.5404895,139.69013817,1,09,1.32,5,11
123735.80,35.5404955,139.690139,1,09,1.32,5,11
123736.00,35.54050167,139.69013933,1,09,1.32,5,11
